Offense Case Type,Offense Date,Offense Time,Charges Description,Offense Street Name,Offense Cross Street,Case Closed,Agency,Officer Code,RACE,Defendant Gender
NT,2019-10-01,14:10:00,Possession Of Drug Paraphernalia,1000 Block Red River Street,,ACT,APD Do Not Use,7850,White,Female
NT,2019-10-01,19:57:00,Disorderly Conduct-Indecent Exposure #,700 Block East 7th Street,,TERM,APD Do Not Use,8017,Hispanic or Latino,Female
NT,2019-10-02,22:35:00,Public Intoxication,500 Block Comal Street,,TERM,APD Do Not Use,8610,Hispanic or Latino,Male
NT,2019-10-03,1:00:00,Disorderly Conduct-Indecent Exposure #,400 Block East 6th Street,,TERM,APD Do Not Use,6781,White,Male
NT,2019-10-03,6:35:00,Possession Of Drug Paraphernalia,500 Block Trinity Street,,IN,APD Do Not Use,3968,Hispanic or Latino,Male
TR,2019-10-03,23:26:00,Pedestrian On Roadway,NECHES ST,,TERM,APD Do Not Use,8140,Black or African American,Male
NT,2019-10-03,23:35:00,Possession Of Drug Paraphernalia,NECHES ST,,TERM,Other Agency,8140,White,Male
NT,2019-10-04,0:01:00,Public Intoxication,Red River Street And,Davis Street,TERM,APD Do Not Use,8004,White,Male
NT,2019-10-04,4:20:00,Statute Not Found,400 Block Guadalupe Street,,TERM,APD Do Not Use,6632,Black or African American,Male
NT,2019-10-04,4:25:00,Park Curfew Violation,Repbulic Park,,ACT,APD Do Not Use,6121,Black or African American,Male
NT,2019-10-04,4:25:00,Statute Not Found,422 Block Guadalupe Street,,TERM,APD Do Not Use,4547,Black or African American,Male
NT,2019-10-04,4:52:00,Park Curfew Violation,422 Block Guadalupe Street,,IN,APD Do Not Use,4547,White,Male
NT,2019-10-04,10:07:00,Disorderly Conduct-Indecent Exposure #,500 Block Neches Street,,TERM,APD Do Not Use,7077,Black or African American,Male
NT,2019-10-05,2:12:00,Public Intoxication,700 Block Trinity Street,,ACT,APD Do Not Use,8140,Black or African American,Male
NT,2019-10-05,2:42:00,Public Intoxication,506 West Avenue,,TERM,APD Do Not Use,7756,White,Male
NT,2019-10-05,15:13:00,Disorderly Conduct-Indecent Exposure #,2600 Block East 7th Street,,TERM,APD Do Not Use,8451,White,Male
NT,2019-10-05,15:13:00,Pedestrian In Roadway/City Ordinance,2600 Block East 7th Street,,TERM,APD Do Not Use,8451,White,Male
NT,2019-10-05,20:19:00,Pedestrian In Roadway/City Ordinance,919 East 32nd Street,,TERM,APD Do Not Use,8006,Black or African American,Female
NT,2019-10-05,22:18:00,Failed/Refused To Identify,1405 Fort Branch Boulevard,,TERM,APD Do Not Use,8922,Black or African American,Male
NT,2019-10-06,0:00:00,Public Intoxication,900 Block Red River Street,,TERM,APD Do Not Use,6473,White,Male
NT,2019-10-06,0:01:00,Public Intoxication,401 East 5th Street,,ACT,APD Do Not Use,8901,White,Female
NT,2019-10-06,0:10:00,Public Intoxication,400 Block East 6th Street,,TERM,APD Do Not Use,8110,White,Male
NT,2019-10-06,0:13:00,Public Intoxication,412 Congress Avenue,,ACT,APD Do Not Use,8224,White,Male
NT,2019-10-06,0:50:00,Public Intoxication,201 East 6th Street,,TERM,APD Do Not Use,8017,Hispanic or Latino,Male
NT,2019-10-06,1:30:00,Public Intoxication,408 East 6th Street,,TERM,APD Do Not Use,8139,White,Male
NT,2019-10-06,20:14:00,Theft Of Service,E 6TH,,TERM,APD Do Not Use,6802,Hispanic or Latino,Male
NT,2019-10-06,22:29:00,Public Intoxication,1200 Block Sabine Street,,ACT,APD Do Not Use,8416,Hispanic or Latino,Male
NT,2019-10-06,23:59:00,Public Intoxication,600 Block Red River Street,,TERM,APD Do Not Use,8115,Hispanic or Latino,Female
NT,2019-10-07,0:05:00,Public Intoxication,300 Block East 6th Street,,TERM,APD Do Not Use,8115,White,Male
NT,2019-10-07,0:40:00,Possession Of Drug Paraphernalia,600 Block West Avenue,,TERM,APD Do Not Use,8110,Hispanic or Latino,Female
NT,2019-10-07,0:40:00,Public Intoxication,600 Block West Avenue,,ACT,APD Do Not Use,8110,Hispanic or Latino,Female
NT,2019-10-07,8:15:00,Possession Of Drug Paraphernalia,800 Block Red River Street,,ACT,APD Do Not Use,5932,Black or African American,Female
TR,2019-10-07,9:50:00,Pedestrian Walking Against Light,East 6th Street And Neches Street,,TERM,APD Do Not Use,5932,White,Male
NT,2019-10-07,20:49:00,Public Intoxication,805 Neches Street,,IN,APD Do Not Use,8152,Black or African American,Male
NT,2019-10-08,13:24:00,Smoking - Public Place,1000 Block Red River Street,,ACT,APD Do Not Use,7786,Black or African American,Male
NT,2019-10-08,13:24:00,Possession Of Drug Paraphernalia,1000 Block Red River Street,,ACT,APD Do Not Use,7786,Black or African American,Male
NT,2019-10-08,23:24:00,Public Intoxication,717 East 7th Street,,ACT,APD Do Not Use,7837,White,Male
NT,2019-10-08,23:31:00,Public Intoxication,301 Congress Avenue,,IN,APD Do Not Use,7870,White,Male
NT,2019-10-09,0:40:00,Public Intoxication,700 Block Neches Street,,IN,APD Do Not Use,8674,Black or African American,Female
NT,2019-10-09,8:32:00,Pedestrian In Roadway/City Ordinance,CONGRESS,,TERM,APD Do Not Use,4949,White,Male
NT,2019-10-09,8:32:00,Disorderly Conduct - Fighting,CONGRESS,,ACT,APD Do Not Use,4949,White,Male
NT,2019-10-09,8:40:00,Possession Of Drug Paraphernalia,CONGRESS,,TERM,APD Do Not Use,4949,White,Male
NT,2019-10-10,2:24:00,Public Intoxication,515 Congress Avenue,,TERM,APD Do Not Use,8017,Hispanic or Latino,Male
NT,2019-10-10,8:40:00,Possession Of Drug Paraphernalia,500 Block Trinity Street,,TERM,APD Do Not Use,3968,Black or African American,Male
NT,2019-10-10,18:38:00,Possession Of Drug Paraphernalia,600 Block Neches Street,,TERM,APD Do Not Use,7785,Black or African American,Male
NT,2019-10-11,0:00:00,Disorderly Conduct - Fighting,300 Block East 6th Street,,IN,APD Do Not Use,7946,White,Male
NT,2019-10-11,1:49:00,Disorderly Conduct - Fighting,300 Block East 6th Street,,IN,APD Do Not Use,8126,White,Male
NT,2019-10-11,2:12:00,Public Intoxication,Haskell Street,,ACT,APD Do Not Use,8403,Hispanic or Latino,Male
NT,2019-10-11,22:30:00,Park Curfew Violation,SABINE S,,ACT,APD Do Not Use,8140,Black or African American,Male
NT,2019-10-12,0:07:00,Public Intoxication,76 Rainey Street,,TERM,APD Do Not Use,8230,White,Female
NT,2019-10-12,10:26:00,Theft C - Less Than $100,AIRPORT BLVD,,TERM,Other Agency,5901,White,Male
NT,2019-10-12,19:46:00,Pedestrian In Roadway/City Ordinance,North Ih35 At East Cesar Chavez Street,,TERM,APD Do Not Use,7057,Black or African American,Male
NT,2019-10-12,19:46:00,Littering,North Ih35 At East Cesar Chavez Street,,TERM,APD Do Not Use,7057,Black or African American,Male
NT,2019-10-12,22:29:00,Public Intoxication,West 6th Street And Rio Grande Street,,TERM,APD Do Not Use,8230,White,Male
NT,2019-10-12,22:30:00,Public Intoxication,325 East 6th Street,,IN,APD Do Not Use,8346,,
NT,2019-10-13,1:09:00,Public Intoxication,400 Block East 6th Street,,TERM,APD Do Not Use,8140,White,Male
NT,2019-10-13,1:28:00,Public Intoxication,1211 East 6th Street,,TERM,APD Do Not Use,8922,Black or African American,Male
NT,2019-10-13,1:57:00,Disorderly Conduct - Fighting,400 Block East 6th Street,,ACT,APD Do Not Use,8140,White,Male
NT,2019-10-13,22:11:00,Possession Of Drug Paraphernalia,NECHES ST,,IN,Other Agency,8140,White,Female
TR,2019-10-13,23:40:00,Pedestrian Walking Against Light,E 6TH ST,TRINITY ST,TERM,APD Do Not Use,8140,Black or African American,Male
NT,2019-10-14,0:00:00,Simple Assault By Threat-Non Family,9600 Block North Ih 35 Service Road,,TERM,APD Do Not Use,7986,Black or African American,Male
NT,2019-10-14,0:51:00,Disorderly Conduct - Fighting,300 Block East 6th Street,,TERM,APD Do Not Use,7597,,
NT,2019-10-14,4:45:00,Public Intoxication,400 Block East 7th Street,,IN,APD Do Not Use,8115,,
NT,2019-10-14,7:30:00,Littering,600 Block Congress Avenue,,TERM,APD Do Not Use,6136,Black or African American,Male
NT,2019-10-14,9:30:00,Possession Of Drug Paraphernalia,300 Block East 6th Street,,IN,APD Do Not Use,6136,White,Male
NT,2019-10-15,17:00:00,Simple Assault By Contact,8th Street,Congress Avenue,TERM,APD Do Not Use,7042,Hispanic or Latino,Male
NT,2019-10-15,22:47:00,Public Intoxication,422 East 6th Street,,TERM,APD Do Not Use,7615,Hispanic or Latino,Male
NT,2019-10-16,0:00:00,Public Intoxication,111 Congress Avenue,,TERM,APD Do Not Use,7095,White,Male
NT,2019-10-17,1:18:00,Public Intoxication,300 Block South Congress Avenue,,TERM,APD Do Not Use,6830,White,Female
NT,2019-10-17,14:35:00,Possession Of Drug Paraphernalia,500 Block Brazos Street,,TERM,APD Do Not Use,7433,White,Male
NT,2019-10-18,1:52:00,Public Intoxication,403 East 6th Street,,TERM,APD Do Not Use,7796,Black or African American,Female
NT,2019-10-18,4:15:00,Statute Not Found,4200 Block Guadalupe Street,,TERM,APD Do Not Use,4674,Hispanic or Latino,Male
NT,2019-10-18,4:21:00,Statute Not Found,422 Block Guadalup Street,,TERM,APD Do Not Use,6121,Hispanic or Latino,Male
NT,2019-10-18,4:24:00,Statute Not Found,422 Block Guadalupe Street,,TERM,APD Do Not Use,6638,White,Male
NT,2019-10-18,4:34:00,Statute Not Found,422 Guadalupe Street,,TERM,APD Do Not Use,6121,White,Female
NT,2019-10-19,0:00:00,Public Intoxication,600 Block San Jacinto Boulevard,,TERM,APD Do Not Use,4072,Black or African American,Male
NT,2019-10-19,1:00:00,Public Intoxication,600 Block Neches Street,,TERM,APD Do Not Use,8110,White,Male
NT,2019-10-19,2:01:00,Public Intoxication,101 Red River Street,,TERM,APD Do Not Use,8530,White,Female
NT,2019-10-19,3:18:00,Public Intoxication,706 West Avenue,,TERM,APD Do Not Use,8442,White,Male
NT,2019-10-19,10:42:00,Public Intoxication,West 6th Street And,North Lamar Boulevard,IN,APD Do Not Use,7709,White,Male
NT,2019-10-19,21:46:00,Public Intoxication,East 6th Street And,Trinity Street,TERM,APD Do Not Use,7872,Black or African American,Male
NT,2019-10-19,21:46:00,Littering,East 6th Street And,Trinity Street,TERM,APD Do Not Use,7872,Black or African American,Male
NT,2019-10-19,21:46:00,Human Waste,East 6th Street And,Trinity Street,TERM,APD Do Not Use,7872,Black or African American,Male
NT,2019-10-19,23:18:00,Theft Of Service,E 6TH ST,,IN,Other Agency,8115,White,Female
NT,2019-10-20,1:00:00,Misdemeanor Theft C - Less Than $100,213 East 6th Street,,TERM,APD Do Not Use,7764,Black or African American,Male
NT,2019-10-20,1:35:00,Public Intoxication,404 Colorado Street,,TERM,APD Do Not Use,8230,White,Male
NT,2019-10-20,2:49:00,Public Intoxication,700 Block San Jacinto Boulevard,,IN,APD Do Not Use,7785,Black or African American,Male
NT,2019-10-20,9:30:00,Possession Of Drug Paraphernalia,300 Block East 3rd Street,,ACT,APD Do Not Use,6627,Black or African American,Male
NT,2019-10-20,18:23:00,Disorderly Conduct - Fighting,700 Block Neches Street,,TERM,APD Do Not Use,5617,Black or African American,Male
NT,2019-10-20,18:30:00,Disorderly Conduct - Fighting,700 Block Neches Street,,IN,APD Do Not Use,7796,White,Male
NT,2019-10-20,22:09:00,Misdemeanor Theft C - Less Than $100,E 7TH ST,,TERM,APD Do Not Use,8235,Black or African American,Male
NT,2019-10-20,22:40:00,Public Intoxication,400 Block East 6th Street,,TERM,APD Do Not Use,8140,Hispanic or Latino,Male
NT,2019-10-21,0:00:00,Public Intoxication,500 Block Neches Street,,ACT,APD Do Not Use,8115,White,Female
TR,2019-10-21,20:29:00,Pedestrian Walking Against Light,500 Block East 7th Street,,TERM,APD Do Not Use,8235,Black or African American,Male
NT,2019-10-21,22:03:00,Possession Of Drug Paraphernalia,NECHES ST,,TERM,APD Do Not Use,7796,White,Male
NT,2019-10-22,0:00:00,Public Intoxication,8th Street And,Ih 35 Service Road,TERM,APD Do Not Use,7095,Black or African American,Male
NT,2019-10-22,13:09:00,Possession Of Drug Paraphernalia,BLK US 183 N,,TERM,Other Agency,7422,White,Male
NT,2019-10-23,15:13:00,Possession Of Drug Paraphernalia,ST JOHNS,,TERM,Other Agency,7422,Black or African American,Female
NT,2019-10-23,16:24:00,Possession Of Drug Paraphernalia,HANSFORD,,TERM,Other Agency,7422,Black or African American,Male
NT,2019-10-25,4:40:00,Park Curfew Violation,422 Block Guadalupe Street,,TERM,APD Do Not Use,4547,White,Female
NT,2019-10-25,22:41:00,Public Intoxication,607 Red River Street,,TERM,APD Do Not Use,8289,White,Female
NT,2019-10-26,0:00:00,Public Intoxication,400 Block East 6th Street,,TERM,APD Do Not Use,7597,White,Male
NT,2019-10-26,0:00:00,Public Intoxication,501 East 6th Street,,TERM,APD Do Not Use,5907,White,Male
NT,2019-10-26,0:01:00,Public Intoxication,701 East 11th Street,,ACT,APD Do Not Use,8115,White,Male
NT,2019-10-26,0:49:00,Public Intoxication,400 Block East 6th Street,,TERM,APD Do Not Use,8140,Hispanic or Latino,Male
NT,2019-10-26,1:08:00,Public Intoxication,200 Block West 4th Street,,TERM,APD Do Not Use,8230,Hispanic or Latino,Female
NT,2019-10-26,1:30:00,Noise Viol. After 10:30 Pm (Co 10-5-2),121 East 5th Street,,TERM,APD Do Not Use,7796,Other,Male
NT,2019-10-26,2:15:00,Public Intoxication,East 6th Street And,Neches Street,TERM,APD Do Not Use,8226,Other,Male
NT,2019-10-26,13:57:00,Public Intoxication,411 East 6th Street,,TERM,APD Do Not Use,7872,White,Male
NT,2019-10-26,23:00:00,Consuming Alcohol In A Public Street,500 Block East 4th Street,,TERM,APD Do Not Use,7796,White,Male
NT,2019-10-27,1:50:00,Public Intoxication,206 East 9th Street,,TERM,APD Do Not Use,8235,White,Male
NT,2019-10-27,2:08:00,Public Intoxication,510 Rio Grande Street,,TERM,APD Do Not Use,8564,White,Male
NT,2019-10-27,23:53:00,Public Intoxication,400 Block East 6th Street,,TERM,APD Do Not Use,7756,Hispanic or Latino,Male
NT,2019-10-28,2:58:00,Public Intoxication,East 8th Street And,Red River Street,TERM,APD Do Not Use,8126,White,Male
NT,2019-10-28,17:00:00,Possession Of Drug Paraphernalia,500 Block East 7th Street,,TERM,APD Do Not Use,7785,Black or African American,Male
TR,2019-10-28,21:32:00,Pedestrian Walking Against Light,E 6TH ST,TRINITY ST,TERM,Other Agency,8140,White,Male
NT,2019-10-28,23:59:00,Manifesting - Drugs,E 6TH ST,NECHES ST,ACT,Other Agency,8140,Black or African American,Male
NT,2019-10-30,1:14:00,Failure To Identify - Refuse,500 Block East 7th Street,,IN,APD Do Not Use,7597,White,Female
NT,2019-10-30,1:14:00,Disorderly Conduct-Indecent Exposure #,500 Block East 7th Street,,IN,APD Do Not Use,7597,White,Female
NT,2019-10-31,0:52:00,Human Waste,TRINTY ST,,ACT,Other Agency,8140,Black or African American,Male
NT,2019-10-31,20:20:00,Public Intoxication,East 6th Street And,San Jacinto Boulevard,TERM,APD Do Not Use,8226,Other,Female
NT,2019-10-31,23:31:00,Disorderly Conduct - Fighting,7th Street And Ih 35,,TERM,APD Do Not Use,8105,White,Male
NT,2019-10-31,23:31:00,Disorderly Conduct - Fighting,7th Street And Ih 35,,TERM,APD Do Not Use,8105,Hispanic or Latino,Male
NT,2019-11-01,2:24:00,Human Waste,600 Block Trinity Street,,TERM,APD Do Not Use,8346,Black or African American,Male
NT,2019-11-01,2:30:00,Public Intoxication,700 Block West 6th Street,,IN,APD Do Not Use,7601,White,Female
NT,2019-11-01,12:00:00,Theft Of Service,601 North Ih 35,,TERM,APD Do Not Use,3968,Black or African American,Male
NT,2019-11-01,15:30:00,Possession Of Drug Paraphernalia,500 Block Brazos Street,,IN,APD Do Not Use,7433,White,Male
NT,2019-11-02,2:27:00,Public Intoxication,300 Block East 6th Street,,TERM,APD Do Not Use,8674,Hispanic or Latino,Male
NT,2019-11-03,0:00:00,Public Intoxication,525 North Lamar Boulevard,,TERM,APD Do Not Use,6290,White,Male
NT,2019-11-03,1:55:00,Disorderly Conduct - Fighting,400 Block East 6th Street,,TERM,APD Do Not Use,7401,Black or African American,Male
NT,2019-11-03,1:55:00,Failure To Identify - Refuse,400 Block East 6th Street,,TERM,APD Do Not Use,7401,Black or African American,Male
NT,2019-11-03,17:55:00,Public Intoxication,1213 Sabine Street,,TERM,APD Do Not Use,8927,White,Female
NT,2019-11-03,18:25:00,Public Intoxication,North Congress And,3rd Street,IN,APD Do Not Use,8655,White,Male
NT,2019-11-04,2:32:00,Littering,5TH,SAN JACINTO,TERM,Other Agency,5159,Black or African American,Male
NT,2019-11-05,4:30:00,Camping In A Public Place,700 Block Neches Street,,TERM,APD Do Not Use,3968,Black or African American,Male
NT,2019-11-05,7:53:00,Camping In A Public Place,700 Block Neches Street,,TERM,APD Do Not Use,7345,Hispanic or Latino,Male
NT,2019-11-05,23:55:00,Disorderly Conduct-Indecent Exposure #,316 East 6th Street,,TERM,APD Do Not Use,7887,Black or African American,Male
NT,2019-11-06,2:29:00,Public Intoxication,402 East 6th Street,,TERM,APD Do Not Use,7884,White,Male
NT,2019-11-06,4:31:00,Park Curfew Violation,515 Block Red River Street,,IN,APD Do Not Use,4547,Black or African American,Male
NT,2019-11-06,14:07:00,Obstruction in the DACC Area Prohibited,500 E 7TH ST,,TERM,APD Do Not Use,8230,White,Male
NT,2019-11-06,14:14:00,Obstruction in the DACC Area Prohibited,500 Block East 7th Street,,TERM,APD Do Not Use,7796,Black or African American,Male
NT,2019-11-06,14:30:00,Obstruction in the DACC Area Prohibited,500 Block East 7th Street,,IN,APD Do Not Use,8235,Black or African American,Male
NT,2019-11-06,14:39:00,Consuming Alcohol In A Public Street,400 Block East 7th Street,,ACT,APD Do Not Use,7796,White,Male
TR,2019-11-06,15:13:00,Pedestrian On Roadway,700 Block Neches Street,,TERM,APD Do Not Use,7796,White,Male
NT,2019-11-06,18:11:00,Obstruction in the DACC Area Prohibited,700 NECHES,,TERM,APD Do Not Use,8230,Black or African American,Male
NT,2019-11-06,18:28:00,Possession Of Drug Paraphernalia,8th Street And,Trinity Street,TERM,APD Do Not Use,8105,Black or African American,Male
NT,2019-11-06,18:28:00,Failure To Identify - Refuse,8th Street And,Trinity Street,TERM,APD Do Not Use,8105,Black or African American,Male
NT,2019-11-06,18:45:00,Camping In A Public Place,500 Block East 7th Street,,TERM,APD Do Not Use,7824,Black or African American,Male
NT,2019-11-07,0:00:00,Public Intoxication,400 Block East 6th Street,,TERM,APD Do Not Use,8422,Black or African American,Male
NT,2019-11-08,1:16:00,Public Intoxication,600 Block West 6th Street,,TERM,APD Do Not Use,8674,Hispanic or Latino,Male
NT,2019-11-08,2:42:00,Public Intoxication,Trinity Street And,East 6th Street,TERM,APD Do Not Use,8126,Black or African American,Female
NT,2019-11-09,0:01:00,Public Intoxication,300 Block Bowie Street,,IN,APD Do Not Use,8594,White,Male
NT,2019-11-10,0:33:00,Human Waste,600 Block North Ih 35 Service Road,,TERM,APD Do Not Use,8942,Black or African American,Male
NT,2019-11-12,0:00:00,Public Intoxication,1213 Sabine Street,,TERM,APD Do Not Use,7330,Black or African American,Male
NT,2019-11-12,2:08:00,Human Waste,NECHES ST,,IN,Other Agency,8140,Black or African American,Male
NT,2019-11-12,15:00:00,Failure To Identify - Refuse,500 Block East 7th Street,,TERM,APD Do Not Use,8152,Black or African American,Female
NT,2019-11-12,15:00:00,Camping In A Public Place,500 Block East 7th Street,,ACT,APD Do Not Use,8152,Black or African American,Female
NT,2019-11-12,15:45:00,Obstruction in the DACC Area Prohibited,500 Block East 7th Street,,IN,APD Do Not Use,7796,Black or African American,Male
NT,2019-11-12,16:18:00,Obstruction in the DACC Area Prohibited,400 Block East 7th Street,,TERM,APD Do Not Use,7796,White,Male
NT,2019-11-12,17:00:00,Obstruction in the DACC Area Prohibited,500 Block East 7th Street,,IN,APD Do Not Use,7796,Hispanic or Latino,Male
NT,2019-11-12,17:20:00,Obstruction in the DACC Area Prohibited,500 Block East 7th Street,,TERM,APD Do Not Use,7796,Black or African American,Male
NT,2019-11-12,22:12:00,"Possess, Consume, Sell Alcohol In Prohibited Park Area",WALLER CREEK,,IN,Other Agency,8140,Black or African American,Female
NT,2019-11-13,2:57:00,Human Waste,NECHES ST,,TERM,Other Agency,8140,Black or African American,Male
NT,2019-11-13,9:51:00,Camping In A Public Place,606 Trinity Street,,IN,APD Do Not Use,7492,Black or African American,Female
NT,2019-11-13,14:10:00,Consuming Alcohol In A Public Street,700 Block Neches Street,,TERM,APD Do Not Use,7796,White,Male
NT,2019-11-13,16:00:00,Obstruction in the DACC Area Prohibited,200 Block East 6th Street,,IN,APD Do Not Use,7796,White,Female
NT,2019-11-13,17:15:00,Obstruction in the DACC Area Prohibited,500 Block East 7th Street,,TERM,APD Do Not Use,7796,Black or African American,Male
NT,2019-11-14,0:00:00,Theft Of Service,606 Trinity Street,,ACT,APD Do Not Use,8594,Hispanic or Latino,Male
NT,2019-11-14,0:42:00,Manifesting - Prostitution,300 Block East 6th Street,,TERM,APD Do Not Use,8140,White,Female
NT,2019-11-14,2:30:00,Disorderly Conduct - Fighting,400 East 6th Street,,ACT,APD Do Not Use,7884,Hispanic or Latino,Female
NT,2019-11-14,3:17:00,Disorderly Conduct - Fighting,E. 6TH ST,TRINITY ST,IN,Other Agency,7597,Hispanic or Latino,Female
NT,2019-11-14,19:15:00,Obstruction in the DACC Area Prohibited,500 Block East 7th Street,,TERM,APD Do Not Use,7796,Black or African American,Male
NT,2019-11-15,1:10:00,Public Intoxication,720 West 6th Street,,TERM,APD Do Not Use,8422,White,Female
NT,2019-11-15,1:30:00,Public Intoxication,409 East 6th Street,,TERM,APD Do Not Use,7837,White,Male
NT,2019-11-15,2:10:00,Public Intoxication,400 Block East 11th Street,,TERM,APD Do Not Use,5617,Hispanic or Latino,Female
NT,2019-11-15,23:11:00,Camping In A Public Place,500 Block East 7th Street,,TERM,APD Do Not Use,8674,Black or African American,Male
